"","DateRep","Deaths","Countries and territories"
"1",2020-03-23,9,"China"
"2",2020-03-22,6,"China"
"3",2020-03-21,7,"China"
"4",2020-03-20,4,"China"
"5",2020-03-19,8,"China"
"6",2020-03-18,16,"China"
"7",2020-03-17,9,"China"
"8",2020-03-16,14,"China"
"9",2020-03-15,9,"China"
"10",2020-03-14,15,"China"
"11",2020-03-13,7,"China"
"12",2020-03-12,11,"China"
"13",2020-03-11,22,"China"
"14",2020-03-10,17,"China"
"15",2020-03-09,23,"China"
"16",2020-03-08,27,"China"
"17",2020-03-07,28,"China"
"18",2020-03-06,30,"China"
"19",2020-03-05,31,"China"
"20",2020-03-04,37,"China"
"21",2020-03-03,32,"China"
"22",2020-03-02,42,"China"
"23",2020-03-01,35,"China"
"24",2020-02-29,47,"China"
"25",2020-02-28,44,"China"
"26",2020-02-27,29,"China"
"27",2020-02-26,52,"China"
"28",2020-02-25,70,"China"
"29",2020-02-24,150,"China"
"30",2020-02-23,98,"China"
"31",2020-02-22,109,"China"
"32",2020-02-21,118,"China"
"33",2020-02-20,112,"China"
"34",2020-02-19,139,"China"
"35",2020-02-18,98,"China"
"36",2020-02-17,105,"China"
"37",2020-02-16,142,"China"
"38",2020-02-15,143,"China"
"39",2020-02-14,13,"China"
"40",2020-02-13,254,"China"
"41",2020-02-12,97,"China"
"42",2020-02-11,108,"China"
"43",2020-02-10,97,"China"
"44",2020-02-09,89,"China"
"45",2020-02-08,86,"China"
"46",2020-02-07,73,"China"
"47",2020-02-06,72,"China"
"48",2020-02-05,66,"China"
"49",2020-02-04,65,"China"
"50",2020-02-03,57,"China"
"51",2020-02-02,45,"China"
"52",2020-02-01,46,"China"
"53",2020-01-31,43,"China"
"54",2020-01-30,38,"China"
"55",2020-01-29,26,"China"
"56",2020-01-28,25,"China"
"57",2020-01-27,25,"China"
"58",2020-01-26,15,"China"
"59",2020-01-25,15,"China"
"60",2020-01-24,9,"China"
"61",2020-01-23,0,"China"
"62",2020-01-22,11,"China"
"63",2020-01-21,3,"China"
"64",2020-01-20,0,"China"
"65",2020-01-19,1,"China"
"66",2020-01-18,0,"China"
"67",2020-01-17,0,"China"
"68",2020-01-16,0,"China"
"69",2020-01-15,1,"China"
"70",2020-01-14,0,"China"
"71",2020-01-13,0,"China"
"72",2020-01-12,0,"China"
"73",2020-01-11,1,"China"
"74",2020-01-10,0,"China"
"75",2020-01-09,0,"China"
"76",2020-01-08,0,"China"
"77",2020-01-07,0,"China"
"78",2020-01-06,0,"China"
"79",2020-01-05,0,"China"
"80",2020-01-04,0,"China"
"81",2020-01-03,0,"China"
"82",2020-01-02,0,"China"
"83",2020-01-01,0,"China"
"84",2019-12-31,0,"China"
