"","DateRep","Deaths","Countries and territories"
"1",2020-03-23,649,"Italy"
"2",2020-03-22,795,"Italy"
"3",2020-03-21,625,"Italy"
"4",2020-03-20,429,"Italy"
"5",2020-03-19,473,"Italy"
"6",2020-03-18,347,"Italy"
"7",2020-03-17,347,"Italy"
"8",2020-03-16,370,"Italy"
"9",2020-03-15,173,"Italy"
"10",2020-03-14,252,"Italy"
"11",2020-03-13,189,"Italy"
"12",2020-03-12,196,"Italy"
"13",2020-03-11,167,"Italy"
"14",2020-03-10,98,"Italy"
"15",2020-03-09,133,"Italy"
"16",2020-03-08,36,"Italy"
"17",2020-03-07,49,"Italy"
"18",2020-03-06,41,"Italy"
"19",2020-03-05,27,"Italy"
"20",2020-03-04,28,"Italy"
"21",2020-03-03,17,"Italy"
"22",2020-03-02,6,"Italy"
"23",2020-03-01,8,"Italy"
"24",2020-02-29,4,"Italy"
"25",2020-02-28,5,"Italy"
"26",2020-02-27,1,"Italy"
"27",2020-02-26,5,"Italy"
"28",2020-02-25,4,"Italy"
"29",2020-02-24,0,"Italy"
"30",2020-02-23,2,"Italy"
"31",2020-02-22,0,"Italy"
"32",2020-02-21,0,"Italy"
"33",2020-02-20,0,"Italy"
"34",2020-02-19,0,"Italy"
"35",2020-02-18,0,"Italy"
"36",2020-02-17,0,"Italy"
"37",2020-02-16,0,"Italy"
"38",2020-02-15,0,"Italy"
"39",2020-02-14,0,"Italy"
"40",2020-02-13,0,"Italy"
"41",2020-02-12,0,"Italy"
"42",2020-02-11,0,"Italy"
"43",2020-02-10,0,"Italy"
"44",2020-02-09,0,"Italy"
"45",2020-02-08,0,"Italy"
"46",2020-02-07,0,"Italy"
"47",2020-02-06,0,"Italy"
"48",2020-02-05,0,"Italy"
"49",2020-02-04,0,"Italy"
"50",2020-02-03,0,"Italy"
"51",2020-02-02,0,"Italy"
"52",2020-02-01,0,"Italy"
"53",2020-01-31,0,"Italy"
"54",2020-01-30,0,"Italy"
"55",2020-01-29,0,"Italy"
"56",2020-01-28,0,"Italy"
"57",2020-01-27,0,"Italy"
"58",2020-01-26,0,"Italy"
"59",2020-01-25,0,"Italy"
"60",2020-01-24,0,"Italy"
"61",2020-01-23,0,"Italy"
"62",2020-01-22,0,"Italy"
"63",2020-01-21,0,"Italy"
"64",2020-01-20,0,"Italy"
"65",2020-01-19,0,"Italy"
"66",2020-01-18,0,"Italy"
"67",2020-01-17,0,"Italy"
"68",2020-01-16,0,"Italy"
"69",2020-01-15,0,"Italy"
"70",2020-01-14,0,"Italy"
"71",2020-01-13,0,"Italy"
"72",2020-01-12,0,"Italy"
"73",2020-01-11,0,"Italy"
"74",2020-01-10,0,"Italy"
"75",2020-01-09,0,"Italy"
"76",2020-01-08,0,"Italy"
"77",2020-01-07,0,"Italy"
"78",2020-01-06,0,"Italy"
"79",2020-01-05,0,"Italy"
"80",2020-01-04,0,"Italy"
"81",2020-01-03,0,"Italy"
"82",2020-01-02,0,"Italy"
"83",2020-01-01,0,"Italy"
"84",2019-12-31,0,"Italy"
