"","DateRep","Deaths","Countries and territories"
"1",2020-03-23,48,"United_Kingdom"
"2",2020-03-22,56,"United_Kingdom"
"3",2020-03-21,33,"United_Kingdom"
"4",2020-03-20,41,"United_Kingdom"
"5",2020-03-19,43,"United_Kingdom"
"6",2020-03-18,5,"United_Kingdom"
"7",2020-03-17,20,"United_Kingdom"
"8",2020-03-16,14,"United_Kingdom"
"9",2020-03-15,11,"United_Kingdom"
"10",2020-03-14,0,"United_Kingdom"
"11",2020-03-13,4,"United_Kingdom"
"12",2020-03-12,0,"United_Kingdom"
"13",2020-03-11,1,"United_Kingdom"
"14",2020-03-10,2,"United_Kingdom"
"15",2020-03-09,1,"United_Kingdom"
"16",2020-03-08,1,"United_Kingdom"
"17",2020-03-07,0,"United_Kingdom"
"18",2020-03-06,1,"United_Kingdom"
"19",2020-03-05,0,"United_Kingdom"
"20",2020-03-04,0,"United_Kingdom"
"21",2020-03-03,0,"United_Kingdom"
"22",2020-03-02,0,"United_Kingdom"
"23",2020-03-01,0,"United_Kingdom"
"24",2020-02-29,0,"United_Kingdom"
"25",2020-02-28,0,"United_Kingdom"
"26",2020-02-27,0,"United_Kingdom"
"27",2020-02-26,0,"United_Kingdom"
"28",2020-02-25,0,"United_Kingdom"
"29",2020-02-24,0,"United_Kingdom"
"30",2020-02-23,0,"United_Kingdom"
"31",2020-02-22,0,"United_Kingdom"
"32",2020-02-21,0,"United_Kingdom"
"33",2020-02-20,0,"United_Kingdom"
"34",2020-02-19,0,"United_Kingdom"
"35",2020-02-18,0,"United_Kingdom"
"36",2020-02-17,0,"United_Kingdom"
"37",2020-02-16,0,"United_Kingdom"
"38",2020-02-15,0,"United_Kingdom"
"39",2020-02-14,0,"United_Kingdom"
"40",2020-02-13,0,"United_Kingdom"
"41",2020-02-12,0,"United_Kingdom"
"42",2020-02-11,0,"United_Kingdom"
"43",2020-02-10,0,"United_Kingdom"
"44",2020-02-09,0,"United_Kingdom"
"45",2020-02-08,0,"United_Kingdom"
"46",2020-02-07,0,"United_Kingdom"
"47",2020-02-06,0,"United_Kingdom"
"48",2020-02-05,0,"United_Kingdom"
"49",2020-02-04,0,"United_Kingdom"
"50",2020-02-03,0,"United_Kingdom"
"51",2020-02-02,0,"United_Kingdom"
"52",2020-02-01,0,"United_Kingdom"
"53",2020-01-31,0,"United_Kingdom"
"54",2020-01-30,0,"United_Kingdom"
"55",2020-01-29,0,"United_Kingdom"
"56",2020-01-28,0,"United_Kingdom"
"57",2020-01-27,0,"United_Kingdom"
"58",2020-01-26,0,"United_Kingdom"
"59",2020-01-25,0,"United_Kingdom"
"60",2020-01-24,0,"United_Kingdom"
"61",2020-01-23,0,"United_Kingdom"
"62",2020-01-22,0,"United_Kingdom"
"63",2020-01-21,0,"United_Kingdom"
"64",2020-01-20,0,"United_Kingdom"
"65",2020-01-19,0,"United_Kingdom"
"66",2020-01-18,0,"United_Kingdom"
"67",2020-01-17,0,"United_Kingdom"
"68",2020-01-16,0,"United_Kingdom"
"69",2020-01-15,0,"United_Kingdom"
"70",2020-01-14,0,"United_Kingdom"
"71",2020-01-13,0,"United_Kingdom"
"72",2020-01-12,0,"United_Kingdom"
"73",2020-01-11,0,"United_Kingdom"
"74",2020-01-10,0,"United_Kingdom"
"75",2020-01-09,0,"United_Kingdom"
"76",2020-01-08,0,"United_Kingdom"
"77",2020-01-07,0,"United_Kingdom"
"78",2020-01-06,0,"United_Kingdom"
"79",2020-01-05,0,"United_Kingdom"
"80",2020-01-04,0,"United_Kingdom"
"81",2020-01-03,0,"United_Kingdom"
"82",2020-01-02,0,"United_Kingdom"
"83",2020-01-01,0,"United_Kingdom"
"84",2019-12-31,0,"United_Kingdom"
